Num_acc,Date,Conditions Lumineuses,Conditions Atmosphériques,Etat Surface,Catégorie Route,Vitesse Maximale Autorisée,Type Collision,Nombre Véhicules Impliqués,Nombre Usagers Impliqués,Gravité
0,2022-01-06 03:39:36,Nuit,Normal,Sec,80.0,80.0,Frontale,2.0,2.0,
2,2022-01-13 16:38:18,Jour,Normal,Sec,Route Départementale,75.0,Par le coté,,,0.0
3,2022-01-22 18:07:11,Nuit,Normal,Sec,Voie Communale,40.0,Par le coté,2.0,6.0,0.0
4,2022-01-10 07:43:14,Nuit,Normal,Sec,Route Départementale,80.0,,1.0,1.0,
6,2022-01-29 05:40:02,Nuit,Normal,Sec,80.0,80.0,Par le coté,,,0.0
9,2022-01-13 19:33:13,Nuit,Normal,Sec,Voie Communale,30.0,Frontale,2.0,,0.0
10,2022-01-28 02:52:24,Nuit,Normal,Sec,50.0,50.0,Autre,1.0,3.0,0.0
11,2022-01-02 02:50:18,Nuit,Normal,Sec,50.0,50.0,Par le coté,,4.0,0.0
12,2022-01-22 10:25:11,Jour,Normal,Sec,Route Départementale,75.0,Autre,1.0,1.0,0.0
14,2022-01-25 12:18:40,Jour,Normal,Sec,Autoroute,130.0,Autre,,1.0,
17,2022-01-20 16:22:34,Jour,Normal,Sec,Voie Communale,50.0,,,2.0,0.0
18,2022-01-17 04:51:48,Nuit,Normal,Sec,Route Nationale,100.0,Par le coté,2.0,2.0,1.0
19,2022-01-28 04:01:15,Nuit,Normal,Sec,Autoroute,130.0,Par l'arrière,2.0,2.0,0.0
21,2022-01-05 08:36:43,Jour,Normal,Sec,Route Départementale,75.0,Par l'arrière,2.0,7.0,0.0
24,2022-01-20 14:20:21,Jour,Normal,Sec,Route Départementale,70.0,Par l'arrière,2.0,,0.0
25,2022-01-31 04:40:00,Nuit,Normal,Sec,Voie Communale,30.0,Autre,1.0,,
31,2022-01-31 23:20:29,Nuit,Normal,Sec,Route Départementale,70.0,,1.0,1.0,
34,2022-01-10 21:57:41,Nuit,Normal,Sec,Route Nationale,100.0,Par l'arrière,2.0,,0.0
35,2022-01-25 08:02:34,Nuit,Normal,Sec,80.0,80.0,Par le coté,2.0,4.0,
36,2022-01-10 03:52:52,Nuit,Normal,Sec,Route Départementale,75.0,,,6.0,1.0
37,2022-01-11 08:36:51,Jour,Normal,Sec,Voie Communale,50.0,Par le coté,2.0,4.0,0.0
38,2022-01-13 05:28:37,Nuit,Normal,Sec,80.0,80.0,Par le coté,2.0,3.0,1.0
39,2022-01-02 04:56:26,Nuit,Normal,Sec,Route Départementale,75.0,Par le coté,2.0,,
40,2022-01-21 05:43:53,Nuit,Normal,Sec,Voie Communale,30.0,Par le coté,2.0,3.0,0.0
41,2022-01-02 11:54:15,Jour,Normal,Sec,Voie Communale,50.0,,1.0,3.0,0.0
42,2022-01-15 20:12:48,Nuit,Normal,Sec,80.0,80.0,,,,0.0
44,2022-01-17 16:01:44,Jour,Normal,Sec,Autoroute,130.0,,,4.0,0.0
47,2022-01-14 14:13:03,Jour,Normal,Sec,70.0,70.0,,1.0,1.0,0.0
48,2022-01-01 06:02:46,Nuit,Normal,Sec,Voie Communale,30.0,Autre,,1.0,
50,2022-01-16 09:23:40,Jour,Normal,Sec,80.0,80.0,Autre,,,0.0
54,2022-01-06 02:36:51,Nuit,Normal,Sec,50.0,50.0,Par le coté,2.0,2.0,0.0
59,2022-01-27 11:53:44,Jour,Normal,Sec,Route Départementale,80.0,Par l'arrière,,,
60,2022-01-18 23:11:11,Nuit,Normal,Sec,Voie Communale,30.0,Par l'arrière,2.0,,0.0
62,2022-01-26 00:31:39,Nuit,Normal,Sec,Route Départementale,75.0,Autre,,3.0,0.0
63,2022-01-25 18:16:08,Nuit,Normal,Sec,Voie Communale,30.0,Par l'arrière,2.0,2.0,0.0
64,2022-01-21 20:45:30,Nuit,Normal,Sec,Route Nationale,100.0,Autre,,3.0,0.0
66,2022-01-14 09:42:17,Jour,Normal,Sec,50.0,50.0,Autre,1.0,1.0,
70,2022-01-15 11:39:38,Jour,Normal,Sec,Voie Communale,30.0,Par l'arrière,,3.0,
71,2022-01-27 14:32:55,Jour,Normal,Sec,Route Départementale,80.0,Autre,1.0,,0.0
72,2022-01-25 20:27:46,Nuit,Normal,Sec,Route Départementale,75.0,Autre,,1.0,0.0
74,2022-01-31 02:33:05,Nuit,Normal,Sec,80.0,80.0,Par le coté,2.0,2.0,1.0
76,2022-01-02 19:05:12,Nuit,Normal,Sec,Voie Communale,50.0,Autre,,,0.0
77,2022-01-24 23:24:41,Nuit,Normal,Sec,50.0,50.0,Frontale,2.0,,0.0
79,2022-01-17 02:50:43,Nuit,Normal,Sec,70.0,70.0,,1.0,,0.0
80,2022-01-10 19:23:51,Nuit,Normal,Sec,Voie Communale,30.0,,2.0,,0.0
81,2022-01-20 09:43:55,Jour,Normal,Sec,Voie Communale,50.0,,2.0,3.0,0.0
82,2022-01-10 16:06:52,Jour,Normal,Sec,Route Départementale,70.0,Frontale,2.0,2.0,
84,2022-01-18 19:23:44,Nuit,Normal,Sec,50.0,50.0,,,,1.0
85,2022-01-27 19:52:37,Nuit,Normal,Sec,Route Départementale,75.0,Frontale,2.0,2.0,1.0
86,2022-01-12 08:37:51,Jour,Normal,Sec,Voie Communale,50.0,Par l'arrière,2.0,,0.0
88,2022-01-18 22:37:40,Nuit,Normal,Sec,Voie Communale,40.0,,,2.0,0.0
89,2022-01-01 04:30:27,Nuit,Normal,Sec,Voie Communale,30.0,Par le coté,2.0,3.0,
90,2022-01-28 03:02:41,Nuit,Normal,Sec,Route Départementale,70.0,,,4.0,0.0
92,2022-01-26 09:08:14,Jour,Normal,Sec,Voie Communale,30.0,Par le coté,2.0,2.0,0.0
95,2022-01-25 19:36:58,Nuit,Normal,Sec,Route Départementale,80.0,,2.0,,0.0
97,2022-01-26 19:35:59,Nuit,Normal,Sec,Voie Communale,50.0,Autre,1.0,3.0,1.0
107,2022-01-25 11:34:51,Jour,Normal,Sec,Voie Communale,40.0,,,,
