Num_acc,Catégorie du véhicule,Point de choc,Nombre de passagers,Obstacle heurté
0,Motocyclette,Avant,1,Fossé
1,Véhicule Léger,Avant,2,Véhicule
1,Bicyclette,Arrière,1,Véhicule
1,Véhicule Utilitaire,Côté Droit,1,Véhicule
2,Véhicule Léger,Avant,2,Véhicule
2,Motocyclette,Arrière,1,Véhicule
3,Motocyclette,Avant,1,Véhicule
3,Motocyclette,Côté Droit,1,Véhicule
4,Bicyclette,Avant,1,Véhicule
4,Véhicule Léger,Côté Droit,3,Véhicule
5,Véhicule Léger,Avant,2,Fossé
6,Véhicule Léger,Avant,1,Véhicule
6,Véhicule Léger,Côté Gauche,5,Véhicule
7,Véhicule Léger,Avant,1,Véhicule
7,Véhicule Léger,Avant,2,Véhicule
8,Véhicule Léger,Avant,1,Véhicule
8,Véhicule Utilitaire,Avant,1,Véhicule
9,Véhicule Léger,Avant,3,Véhicule
9,Motocyclette,Arrière,1,Véhicule
10,Véhicule Léger,Avant,2,Véhicule
10,Véhicule Léger,Arrière,2,Véhicule
11,Véhicule Léger,Avant,1,Batiment ou Mobilier urbain
12,Véhicule Léger,Avant,2,Véhicule
12,Véhicule Utilitaire,Côté Droit,1,Véhicule
13,Véhicule Léger,Avant,1,Véhicule
13,Véhicule Léger,Côté Gauche,2,Véhicule
14,Véhicule Léger,Avant,1,Véhicule
14,Véhicule Léger,Côté Gauche,1,Véhicule
15,Véhicule Utilitaire,Avant,1,Batiment ou Mobilier urbain
16,Bicyclette,Avant,1,Véhicule
16,Motocyclette,Arrière,1,Véhicule
17,Véhicule Léger,Avant,4,Batiment ou Mobilier urbain
18,Véhicule Léger,Avant,1,Véhicule
18,Véhicule Léger,Côté Gauche,1,Véhicule
19,Véhicule Léger,Avant,1,Batiment ou Mobilier urbain
20,Véhicule Utilitaire,Avant,1,Fossé
21,Motocyclette,Avant,1,Véhicule
21,Véhicule Utilitaire,Arrière,1,Véhicule
22,Véhicule Léger,Avant,2,Véhicule
22,Bicyclette,Arrière,1,Véhicule
22,Véhicule Léger,Côté Gauche,1,Véhicule
23,Véhicule Léger,Avant,1,Véhicule
23,Véhicule Utilitaire,Avant,1,Véhicule
24,Véhicule Léger,Avant,1,Véhicule
24,Motocyclette,Avant,1,Véhicule
24,Véhicule Léger,Avant,5,Véhicule
